candidate,county,party,percentage,popular_vote,state,summary_level
 W. Wilson,Galveston County,DEMOCRAT,0.2%,23,texas,county
 K. Judd,Galveston County,DEMOCRAT,0.1%,19,texas,county
 C. Hawes,Galveston County,DEMOCRAT,0.1%,10,texas,county
 S. Locke,Galveston County,DEMOCRAT,0.1%,10,texas,county
 T. Cruz,Galveston County,REPUBLICAN,44.4%,"17,483",texas,county
 D. Trump,Galveston County,REPUBLICAN,30.4%,"11,961",texas,county
 M. Rubio,Galveston County,REPUBLICAN,15.3%,"6,029",texas,county
 J. Kasich,Galveston County,REPUBLICAN,3.7%,"1,466",texas,county
 B. Carson,Galveston County,REPUBLICAN,3.1%,"1,207",texas,county
 J. Bush,Galveston County,REPUBLICAN,1.2%,486,texas,county
 Uncommitted,Galveston County,REPUBLICAN,1.1%,423,texas,county
 R. Paul,Galveston County,REPUBLICAN,0.3%,123,texas,county
 M. Huckabee,Galveston County,REPUBLICAN,0.1%,58,texas,county
 C. Fiorina,Galveston County,REPUBLICAN,0.1%,46,texas,county
 C. Christie,Galveston County,REPUBLICAN,0.1%,44,texas,county
 R. Santorum,Galveston County,REPUBLICAN,0.0%,13,texas,county
 L. Graham,Galveston County,REPUBLICAN,0.0%,11,texas,county
 E. Gray,Galveston County,REPUBLICAN,0.0%,10,texas,county
 H. Clinton,Garza County,DEMOCRAT,56.5%,35,texas,county
 B. Sanders,Garza County,DEMOCRAT,35.5%,22,texas,county
 M. O'Malley,Garza County,DEMOCRAT,3.2%,2,texas,county
 R. De La Fuente,Garza County,DEMOCRAT,1.6%,1,texas,county
 K. Judd,Garza County,DEMOCRAT,1.6%,1,texas,county
 W. Wilson,Garza County,DEMOCRAT,1.6%,1,texas,county
 C. Hawes,Garza County,DEMOCRAT,0.0%,0,texas,county
 S. Locke,Garza County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Garza County,REPUBLICAN,56.2%,574,texas,county
 D. Trump,Garza County,REPUBLICAN,21.9%,224,texas,county
 M. Rubio,Garza County,REPUBLICAN,8.7%,89,texas,county
 B. Carson,Garza County,REPUBLICAN,6.4%,65,texas,county
 J. Kasich,Garza County,REPUBLICAN,2.1%,21,texas,county
 J. Bush,Garza County,REPUBLICAN,1.7%,17,texas,county
 Uncommitted,Garza County,REPUBLICAN,1.6%,16,texas,county
 M. Huckabee,Garza County,REPUBLICAN,0.8%,8,texas,county
 C. Christie,Garza County,REPUBLICAN,0.3%,3,texas,county
 L. Graham,Garza County,REPUBLICAN,0.3%,3,texas,county
 C. Fiorina,Garza County,REPUBLICAN,0.1%,1,texas,county
 E. Gray,Garza County,REPUBLICAN,0.0%,0,texas,county
 R. Paul,Garza County,REPUBLICAN,0.0%,0,texas,county
 R. Santorum,Garza County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Gillespie County,DEMOCRAT,71.9%,813,texas,county
 B. Sanders,Gillespie County,DEMOCRAT,27.8%,314,texas,county
 R. De La Fuente,Gillespie County,DEMOCRAT,0.1%,1,texas,county
 M. O'Malley,Gillespie County,DEMOCRAT,0.1%,1,texas,county
 W. Wilson,Gillespie County,DEMOCRAT,0.1%,1,texas,county
 C. Hawes,Gillespie County,DEMOCRAT,0.0%,0,texas,county
 K. Judd,Gillespie County,DEMOCRAT,0.0%,0,texas,county
 S. Locke,Gillespie County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Gillespie County,REPUBLICAN,42.0%,"3,421",texas,county
 D. Trump,Gillespie County,REPUBLICAN,26.6%,"2,166",texas,county
 M. Rubio,Gillespie County,REPUBLICAN,18.5%,"1,505",texas,county
 J. Kasich,Gillespie County,REPUBLICAN,4.7%,386,texas,county
 B. Carson,Gillespie County,REPUBLICAN,4.2%,345,texas,county
 Uncommitted,Gillespie County,REPUBLICAN,1.6%,130,texas,county
 J. Bush,Gillespie County,REPUBLICAN,1.3%,103,texas,county
 R. Paul,Gillespie County,REPUBLICAN,0.4%,30,texas,county
 M. Huckabee,Gillespie County,REPUBLICAN,0.3%,22,texas,county
 C. Christie,Gillespie County,REPUBLICAN,0.2%,13,texas,county
 C. Fiorina,Gillespie County,REPUBLICAN,0.1%,12,texas,county
 R. Santorum,Gillespie County,REPUBLICAN,0.0%,3,texas,county
 L. Graham,Gillespie County,REPUBLICAN,0.0%,1,texas,county
 E. Gray,Gillespie County,REPUBLICAN,0.0%,1,texas,county
 H. Clinton,Glasscock County,DEMOCRAT,50.0%,4,texas,county
 B. Sanders,Glasscock County,DEMOCRAT,50.0%,4,texas,county
 R. De La Fuente,Glasscock County,DEMOCRAT,0.0%,0,texas,county
 C. Hawes,Glasscock County,DEMOCRAT,0.0%,0,texas,county
 K. Judd,Glasscock County,DEMOCRAT,0.0%,0,texas,county
 S. Locke,Glasscock County,DEMOCRAT,0.0%,0,texas,county
 M. O'Malley,Glasscock County,DEMOCRAT,0.0%,0,texas,county
 W. Wilson,Glasscock County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Glasscock County,REPUBLICAN,50.2%,202,texas,county
 D. Trump,Glasscock County,REPUBLICAN,20.6%,83,texas,county
 M. Rubio,Glasscock County,REPUBLICAN,16.4%,66,texas,county
 B. Carson,Glasscock County,REPUBLICAN,7.5%,30,texas,county
 J. Kasich,Glasscock County,REPUBLICAN,2.7%,11,texas,county
 M. Huckabee,Glasscock County,REPUBLICAN,1.0%,4,texas,county
 Uncommitted,Glasscock County,REPUBLICAN,0.5%,2,texas,county
 J. Bush,Glasscock County,REPUBLICAN,0.2%,1,texas,county
 C. Fiorina,Glasscock County,REPUBLICAN,0.2%,1,texas,county
 R. Paul,Glasscock County,REPUBLICAN,0.2%,1,texas,county
 R. Santorum,Glasscock County,REPUBLICAN,0.2%,1,texas,county
 C. Christie,Glasscock County,REPUBLICAN,0.0%,0,texas,county
 L. Graham,Glasscock County,REPUBLICAN,0.0%,0,texas,county
 E. Gray,Glasscock County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Goliad County,DEMOCRAT,66.4%,389,texas,county
 B. Sanders,Goliad County,DEMOCRAT,25.8%,151,texas,county
 R. De La Fuente,Goliad County,DEMOCRAT,3.8%,22,texas,county
 W. Wilson,Goliad County,DEMOCRAT,1.9%,11,texas,county
 M. O'Malley,Goliad County,DEMOCRAT,0.9%,5,texas,county
 K. Judd,Goliad County,DEMOCRAT,0.7%,4,texas,county
 C. Hawes,Goliad County,DEMOCRAT,0.5%,3,texas,county
 S. Locke,Goliad County,DEMOCRAT,0.2%,1,texas,county
 T. Cruz,Goliad County,REPUBLICAN,48.2%,747,texas,county
 D. Trump,Goliad County,REPUBLICAN,32.9%,509,texas,county
 M. Rubio,Goliad County,REPUBLICAN,11.4%,176,texas,county
 B. Carson,Goliad County,REPUBLICAN,2.6%,40,texas,county
 J. Kasich,Goliad County,REPUBLICAN,2.1%,33,texas,county
 Uncommitted,Goliad County,REPUBLICAN,1.1%,17,texas,county
 J. Bush,Goliad County,REPUBLICAN,1.0%,15,texas,county
 C. Christie,Goliad County,REPUBLICAN,0.3%,4,texas,county
 R. Paul,Goliad County,REPUBLICAN,0.3%,4,texas,county
 C. Fiorina,Goliad County,REPUBLICAN,0.1%,2,texas,county
 E. Gray,Goliad County,REPUBLICAN,0.1%,1,texas,county
 R. Santorum,Goliad County,REPUBLICAN,0.1%,1,texas,county
 L. Graham,Goliad County,REPUBLICAN,0.0%,0,texas,county
 M. Huckabee,Goliad County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Gonzales County,DEMOCRAT,72.3%,368,texas,county
 B. Sanders,Gonzales County,DEMOCRAT,25.3%,129,texas,county
 R. De La Fuente,Gonzales County,DEMOCRAT,0.8%,4,texas,county
 K. Judd,Gonzales County,DEMOCRAT,0.8%,4,texas,county
 M. O'Malley,Gonzales County,DEMOCRAT,0.4%,2,texas,county
 W. Wilson,Gonzales County,DEMOCRAT,0.4%,2,texas,county
 C. Hawes,Gonzales County,DEMOCRAT,0.0%,0,texas,county
 S. Locke,Gonzales County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Gonzales County,REPUBLICAN,50.5%,"1,698",texas,county
 D. Trump,Gonzales County,REPUBLICAN,29.3%,984,texas,county
 M. Rubio,Gonzales County,REPUBLICAN,10.6%,357,texas,county
 B. Carson,Gonzales County,REPUBLICAN,2.8%,93,texas,county
 J. Kasich,Gonzales County,REPUBLICAN,2.3%,77,texas,county
 Uncommitted,Gonzales County,REPUBLICAN,2.1%,71,texas,county
 J. Bush,Gonzales County,REPUBLICAN,1.7%,58,texas,county
 R. Paul,Gonzales County,REPUBLICAN,0.4%,12,texas,county
 C. Christie,Gonzales County,REPUBLICAN,0.1%,5,texas,county
 M. Huckabee,Gonzales County,REPUBLICAN,0.1%,3,texas,county
 R. Santorum,Gonzales County,REPUBLICAN,0.1%,2,texas,county
 E. Gray,Gonzales County,REPUBLICAN,0.0%,1,texas,county
 C. Fiorina,Gonzales County,REPUBLICAN,0.0%,0,texas,county
 L. Graham,Gonzales County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Gray County,DEMOCRAT,53.9%,111,texas,county
 B. Sanders,Gray County,DEMOCRAT,41.7%,86,texas,county
 M. O'Malley,Gray County,DEMOCRAT,2.4%,5,texas,county
 K. Judd,Gray County,DEMOCRAT,1.0%,2,texas,county
 C. Hawes,Gray County,DEMOCRAT,0.5%,1,texas,county
 W. Wilson,Gray County,DEMOCRAT,0.5%,1,texas,county
 R. De La Fuente,Gray County,DEMOCRAT,0.0%,0,texas,county
 S. Locke,Gray County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Gray County,REPUBLICAN,48.8%,"2,210",texas,county
 D. Trump,Gray County,REPUBLICAN,29.4%,"1,329",texas,county
 M. Rubio,Gray County,REPUBLICAN,8.2%,371,texas,county
 B. Carson,Gray County,REPUBLICAN,7.0%,317,texas,county
 Uncommitted,Gray County,REPUBLICAN,2.4%,110,texas,county
 J. Kasich,Gray County,REPUBLICAN,1.7%,78,texas,county
 J. Bush,Gray County,REPUBLICAN,1.2%,54,texas,county
 M. Huckabee,Gray County,REPUBLICAN,0.6%,25,texas,county
 R. Paul,Gray County,REPUBLICAN,0.2%,11,texas,county
 C. Christie,Gray County,REPUBLICAN,0.2%,7,texas,county
 R. Santorum,Gray County,REPUBLICAN,0.1%,6,texas,county
 L. Graham,Gray County,REPUBLICAN,0.1%,4,texas,county
 E. Gray,Gray County,REPUBLICAN,0.1%,4,texas,county
 C. Fiorina,Gray County,REPUBLICAN,0.0%,1,texas,county
 H. Clinton,Grayson County,DEMOCRAT,52.8%,"1,940",texas,county
 B. Sanders,Grayson County,DEMOCRAT,45.9%,"1,687",texas,county
 W. Wilson,Grayson County,DEMOCRAT,0.3%,10,texas,county
 K. Judd,Grayson County,DEMOCRAT,0.2%,9,texas,county
 M. O'Malley,Grayson County,DEMOCRAT,0.2%,9,texas,county
 R. De La Fuente,Grayson County,DEMOCRAT,0.2%,8,texas,county
 C. Hawes,Grayson County,DEMOCRAT,0.1%,5,texas,county
 S. Locke,Grayson County,DEMOCRAT,0.1%,5,texas,county
 T. Cruz,Grayson County,REPUBLICAN,41.4%,"8,647",texas,county
 D. Trump,Grayson County,REPUBLICAN,29.4%,"6,136",texas,county
 M. Rubio,Grayson County,REPUBLICAN,13.5%,"2,817",texas,county
 B. Carson,Grayson County,REPUBLICAN,5.2%,"1,079",texas,county
 J. Kasich,Grayson County,REPUBLICAN,3.5%,739,texas,county
 E. Gray,Grayson County,REPUBLICAN,2.8%,584,texas,county
 Uncommitted,Grayson County,REPUBLICAN,1.6%,330,texas,county
 J. Bush,Grayson County,REPUBLICAN,1.3%,281,texas,county
 M. Huckabee,Grayson County,REPUBLICAN,0.5%,112,texas,county
 R. Paul,Grayson County,REPUBLICAN,0.3%,56,texas,county
 C. Christie,Grayson County,REPUBLICAN,0.2%,34,texas,county
 C. Fiorina,Grayson County,REPUBLICAN,0.1%,26,texas,county
 R. Santorum,Grayson County,REPUBLICAN,0.1%,26,texas,county
 L. Graham,Grayson County,REPUBLICAN,0.1%,11,texas,county
 H. Clinton,Gregg County,DEMOCRAT,78.1%,"3,411",texas,county
 B. Sanders,Gregg County,DEMOCRAT,20.7%,906,texas,county
 R. De La Fuente,Gregg County,DEMOCRAT,0.4%,18,texas,county
 M. O'Malley,Gregg County,DEMOCRAT,0.3%,11,texas,county
 W. Wilson,Gregg County,DEMOCRAT,0.2%,10,texas,county
 S. Locke,Gregg County,DEMOCRAT,0.1%,5,texas,county
 C. Hawes,Gregg County,DEMOCRAT,0.1%,4,texas,county
 K. Judd,Gregg County,DEMOCRAT,0.1%,3,texas,county
 T. Cruz,Gregg County,REPUBLICAN,45.7%,"8,363",texas,county
 D. Trump,Gregg County,REPUBLICAN,25.7%,"4,703",texas,county
 M. Rubio,Gregg County,REPUBLICAN,15.2%,"2,771",texas,county
 B. Carson,Gregg County,REPUBLICAN,4.9%,900,texas,county
 J. Kasich,Gregg County,REPUBLICAN,4.0%,735,texas,county
 J. Bush,Gregg County,REPUBLICAN,1.8%,324,texas,county
 Uncommitted,Gregg County,REPUBLICAN,1.6%,300,texas,county
 M. Huckabee,Gregg County,REPUBLICAN,0.4%,78,texas,county
 R. Paul,Gregg County,REPUBLICAN,0.3%,53,texas,county
 C. Christie,Gregg County,REPUBLICAN,0.1%,23,texas,county
 C. Fiorina,Gregg County,REPUBLICAN,0.1%,20,texas,county
 R. Santorum,Gregg County,REPUBLICAN,0.0%,9,texas,county
 L. Graham,Gregg County,REPUBLICAN,0.0%,7,texas,county
 E. Gray,Gregg County,REPUBLICAN,0.0%,4,texas,county
 H. Clinton,Grimes County,DEMOCRAT,73.1%,583,texas,county
 B. Sanders,Grimes County,DEMOCRAT,25.2%,201,texas,county
 M. O'Malley,Grimes County,DEMOCRAT,0.9%,7,texas,county
 S. Locke,Grimes County,DEMOCRAT,0.3%,2,texas,county
 R. De La Fuente,Grimes County,DEMOCRAT,0.1%,1,texas,county
 C. Hawes,Grimes County,DEMOCRAT,0.1%,1,texas,county
 K. Judd,Grimes County,DEMOCRAT,0.1%,1,texas,county
 W. Wilson,Grimes County,DEMOCRAT,0.1%,1,texas,county
 T. Cruz,Grimes County,REPUBLICAN,49.8%,"2,207",texas,county
 D. Trump,Grimes County,REPUBLICAN,31.7%,"1,404",texas,county
 M. Rubio,Grimes County,REPUBLICAN,9.8%,432,texas,county
 B. Carson,Grimes County,REPUBLICAN,3.5%,155,texas,county
 J. Kasich,Grimes County,REPUBLICAN,1.9%,85,texas,county
 Uncommitted,Grimes County,REPUBLICAN,1.5%,66,texas,county
 J. Bush,Grimes County,REPUBLICAN,1.2%,53,texas,county
 R. Paul,Grimes County,REPUBLICAN,0.2%,9,texas,county
 M. Huckabee,Grimes County,REPUBLICAN,0.2%,7,texas,county
 C. Christie,Grimes County,REPUBLICAN,0.1%,5,texas,county
 C. Fiorina,Grimes County,REPUBLICAN,0.0%,2,texas,county
 L. Graham,Grimes County,REPUBLICAN,0.0%,2,texas,county
 E. Gray,Grimes County,REPUBLICAN,0.0%,1,texas,county
 R. Santorum,Grimes County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Guadalupe County,DEMOCRAT,64.0%,"3,787",texas,county
 B. Sanders,Guadalupe County,DEMOCRAT,34.8%,"2,061",texas,county
 R. De La Fuente,Guadalupe County,DEMOCRAT,0.3%,18,texas,county
 C. Hawes,Guadalupe County,DEMOCRAT,0.3%,16,texas,county
 M. O'Malley,Guadalupe County,DEMOCRAT,0.2%,13,texas,county
 K. Judd,Guadalupe County,DEMOCRAT,0.2%,9,texas,county
 S. Locke,Guadalupe County,DEMOCRAT,0.2%,9,texas,county
 W. Wilson,Guadalupe County,DEMOCRAT,0.1%,8,texas,county
 T. Cruz,Guadalupe County,REPUBLICAN,44.8%,"9,283",texas,county
 D. Trump,Guadalupe County,REPUBLICAN,28.3%,"5,878",texas,county
 M. Rubio,Guadalupe County,REPUBLICAN,17.2%,"3,573",texas,county
 B. Carson,Guadalupe County,REPUBLICAN,4.1%,857,texas,county
 J. Kasich,Guadalupe County,REPUBLICAN,2.9%,599,texas,county
 J. Bush,Guadalupe County,REPUBLICAN,1.0%,213,texas,county
 Uncommitted,Guadalupe County,REPUBLICAN,0.9%,189,texas,county
 R. Paul,Guadalupe County,REPUBLICAN,0.3%,60,texas,county
 C. Christie,Guadalupe County,REPUBLICAN,0.2%,36,texas,county
 M. Huckabee,Guadalupe County,REPUBLICAN,0.1%,19,texas,county
 C. Fiorina,Guadalupe County,REPUBLICAN,0.1%,15,texas,county
 E. Gray,Guadalupe County,REPUBLICAN,0.0%,9,texas,county
 L. Graham,Guadalupe County,REPUBLICAN,0.0%,6,texas,county
 R. Santorum,Guadalupe County,REPUBLICAN,0.0%,4,texas,county
 H. Clinton,Hale County,DEMOCRAT,60.3%,312,texas,county
 B. Sanders,Hale County,DEMOCRAT,34.0%,176,texas,county
 R. De La Fuente,Hale County,DEMOCRAT,2.9%,15,texas,county
 S. Locke,Hale County,DEMOCRAT,1.4%,7,texas,county
 K. Judd,Hale County,DEMOCRAT,0.8%,4,texas,county
 W. Wilson,Hale County,DEMOCRAT,0.4%,2,texas,county
 M. O'Malley,Hale County,DEMOCRAT,0.2%,1,texas,county
 C. Hawes,Hale County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Hale County,REPUBLICAN,50.0%,"2,202",texas,county
 D. Trump,Hale County,REPUBLICAN,20.9%,920,texas,county
 M. Rubio,Hale County,REPUBLICAN,15.9%,701,texas,county
 B. Carson,Hale County,REPUBLICAN,7.2%,319,texas,county
 J. Kasich,Hale County,REPUBLICAN,2.2%,97,texas,county
 J. Bush,Hale County,REPUBLICAN,1.6%,71,texas,county
 Uncommitted,Hale County,REPUBLICAN,1.5%,68,texas,county
 M. Huckabee,Hale County,REPUBLICAN,0.2%,10,texas,county
 C. Christie,Hale County,REPUBLICAN,0.1%,5,texas,county
 C. Fiorina,Hale County,REPUBLICAN,0.1%,4,texas,county
 E. Gray,Hale County,REPUBLICAN,0.1%,4,texas,county
 L. Graham,Hale County,REPUBLICAN,0.0%,1,texas,county
 R. Paul,Hale County,REPUBLICAN,0.0%,1,texas,county
 R. Santorum,Hale County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Hall County,DEMOCRAT,64.3%,63,texas,county
 B. Sanders,Hall County,DEMOCRAT,28.6%,28,texas,county
 M. O'Malley,Hall County,DEMOCRAT,4.1%,4,texas,county
 R. De La Fuente,Hall County,DEMOCRAT,2.0%,2,texas,county
 K. Judd,Hall County,DEMOCRAT,1.0%,1,texas,county
 C. Hawes,Hall County,DEMOCRAT,0.0%,0,texas,county
 S. Locke,Hall County,DEMOCRAT,0.0%,0,texas,county
 W. Wilson,Hall County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Hall County,REPUBLICAN,52.0%,270,texas,county
 D. Trump,Hall County,REPUBLICAN,30.1%,156,texas,county
 M. Rubio,Hall County,REPUBLICAN,6.4%,33,texas,county
 B. Carson,Hall County,REPUBLICAN,5.2%,27,texas,county
 R. Santorum,Hall County,REPUBLICAN,2.7%,14,texas,county
 J. Bush,Hall County,REPUBLICAN,1.2%,6,texas,county
 J. Kasich,Hall County,REPUBLICAN,1.2%,6,texas,county
 Uncommitted,Hall County,REPUBLICAN,0.8%,4,texas,county
 R. Paul,Hall County,REPUBLICAN,0.4%,2,texas,county
 M. Huckabee,Hall County,REPUBLICAN,0.2%,1,texas,county
 C. Christie,Hall County,REPUBLICAN,0.0%,0,texas,county
 C. Fiorina,Hall County,REPUBLICAN,0.0%,0,texas,county
 L. Graham,Hall County,REPUBLICAN,0.0%,0,texas,county
 E. Gray,Hall County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Hamilton County,DEMOCRAT,56.5%,118,texas,county
 B. Sanders,Hamilton County,DEMOCRAT,40.2%,84,texas,county
 R. De La Fuente,Hamilton County,DEMOCRAT,1.4%,3,texas,county
 M. O'Malley,Hamilton County,DEMOCRAT,1.4%,3,texas,county
 K. Judd,Hamilton County,DEMOCRAT,0.5%,1,texas,county
 C. Hawes,Hamilton County,DEMOCRAT,0.0%,0,texas,county
 S. Locke,Hamilton County,DEMOCRAT,0.0%,0,texas,county
 W. Wilson,Hamilton County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Hamilton County,REPUBLICAN,48.9%,"1,065",texas,county
 D. Trump,Hamilton County,REPUBLICAN,32.1%,698,texas,county
 M. Rubio,Hamilton County,REPUBLICAN,9.2%,200,texas,county
 B. Carson,Hamilton County,REPUBLICAN,4.3%,94,texas,county
 J. Kasich,Hamilton County,REPUBLICAN,2.2%,47,texas,county
 J. Bush,Hamilton County,REPUBLICAN,1.2%,27,texas,county
 Uncommitted,Hamilton County,REPUBLICAN,1.2%,26,texas,county
 C. Fiorina,Hamilton County,REPUBLICAN,0.3%,6,texas,county
 C. Christie,Hamilton County,REPUBLICAN,0.1%,3,texas,county
 L. Graham,Hamilton County,REPUBLICAN,0.1%,3,texas,county
 M. Huckabee,Hamilton County,REPUBLICAN,0.1%,3,texas,county
 R. Paul,Hamilton County,REPUBLICAN,0.1%,3,texas,county
 E. Gray,Hamilton County,REPUBLICAN,0.0%,1,texas,county
 R. Santorum,Hamilton County,REPUBLICAN,0.0%,1,texas,county
 H. Clinton,Hansford County,DEMOCRAT,58.3%,21,texas,county
 B. Sanders,Hansford County,DEMOCRAT,33.3%,12,texas,county
 R. De La Fuente,Hansford County,DEMOCRAT,2.8%,1,texas,county
 K. Judd,Hansford County,DEMOCRAT,2.8%,1,texas,county
 M. O'Malley,Hansford County,DEMOCRAT,2.8%,1,texas,county
 C. Hawes,Hansford County,DEMOCRAT,0.0%,0,texas,county
 S. Locke,Hansford County,DEMOCRAT,0.0%,0,texas,county
 W. Wilson,Hansford County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Hansford County,REPUBLICAN,52.4%,682,texas,county
 D. Trump,Hansford County,REPUBLICAN,24.4%,318,texas,county
 M. Rubio,Hansford County,REPUBLICAN,11.6%,151,texas,county
 B. Carson,Hansford County,REPUBLICAN,5.3%,69,texas,county
 J. Kasich,Hansford County,REPUBLICAN,2.2%,28,texas,county
 J. Bush,Hansford County,REPUBLICAN,1.7%,22,texas,county
 Uncommitted,Hansford County,REPUBLICAN,1.2%,15,texas,county
 M. Huckabee,Hansford County,REPUBLICAN,0.6%,8,texas,county
 C. Fiorina,Hansford County,REPUBLICAN,0.2%,3,texas,county
 E. Gray,Hansford County,REPUBLICAN,0.2%,2,texas,county
 R. Paul,Hansford County,REPUBLICAN,0.2%,2,texas,county
 L. Graham,Hansford County,REPUBLICAN,0.1%,1,texas,county
 R. Santorum,Hansford County,REPUBLICAN,0.1%,1,texas,county
 C. Christie,Hansford County,REPUBLICAN,0.0%,0,texas,county
 B. Sanders,Hardeman County,DEMOCRAT,48.9%,88,texas,county
 H. Clinton,Hardeman County,DEMOCRAT,39.4%,71,texas,county
 M. O'Malley,Hardeman County,DEMOCRAT,6.7%,12,texas,county
 W. Wilson,Hardeman County,DEMOCRAT,2.2%,4,texas,county
 R. De La Fuente,Hardeman County,DEMOCRAT,1.1%,2,texas,county
 K. Judd,Hardeman County,DEMOCRAT,1.1%,2,texas,county
 S. Locke,Hardeman County,DEMOCRAT,0.6%,1,texas,county
 C. Hawes,Hardeman County,DEMOCRAT,0.0%,0,texas,county
 T. Cruz,Hardeman County,REPUBLICAN,42.5%,290,texas,county
 D. Trump,Hardeman County,REPUBLICAN,32.7%,223,texas,county
 M. Rubio,Hardeman County,REPUBLICAN,10.0%,68,texas,county
 B. Carson,Hardeman County,REPUBLICAN,6.0%,41,texas,county
 J. Bush,Hardeman County,REPUBLICAN,2.9%,20,texas,county
 J. Kasich,Hardeman County,REPUBLICAN,2.2%,15,texas,county
 Uncommitted,Hardeman County,REPUBLICAN,2.0%,14,texas,county
 M. Huckabee,Hardeman County,REPUBLICAN,0.7%,5,texas,county
 R. Paul,Hardeman County,REPUBLICAN,0.6%,4,texas,county
 C. Christie,Hardeman County,REPUBLICAN,0.3%,2,texas,county
 C. Fiorina,Hardeman County,REPUBLICAN,0.1%,1,texas,county
 L. Graham,Hardeman County,REPUBLICAN,0.0%,0,texas,county
 E. Gray,Hardeman County,REPUBLICAN,0.0%,0,texas,county
 R. Santorum,Hardeman County,REPUBLICAN,0.0%,0,texas,county
 H. Clinton,Hardin County,DEMOCRAT,59.5%,625,texas,county
 B. Sanders,Hardin County,DEMOCRAT,37.9%,398,texas,county
 M. O'Malley,Hardin County,DEMOCRAT,1.0%,10,texas,county
 K. Judd,Hardin County,DEMOCRAT,0.7%,7,texas,county
 W. Wilson,Hardin County,DEMOCRAT,0.4%,4,texas,county
 R. De La Fuente,Hardin County,DEMOCRAT,0.2%,2,texas,county
 C. Hawes,Hardin County,DEMOCRAT,0.2%,2,texas,county
 S. Locke,Hardin County,DEMOCRAT,0.2%,2,texas,county
 T. Cruz,Hardin County,REPUBLICAN,51.0%,"6,354",texas,county
 D. Trump,Hardin County,REPUBLICAN,32.2%,"4,005",texas,county
 M. Rubio,Hardin County,REPUBLICAN,8.4%,"1,049",texas,county
 B. Carson,Hardin County,REPUBLICAN,3.2%,393,texas,county
 J. Kasich,Hardin County,REPUBLICAN,1.9%,241,texas,county
 Uncommitted,Hardin County,REPUBLICAN,1.6%,204,texas,county
 J. Bush,Hardin County,REPUBLICAN,1.0%,122,texas,county
 M. Huckabee,Hardin County,REPUBLICAN,0.2%,30,texas,county
 R. Paul,Hardin County,REPUBLICAN,0.2%,26,texas,county
 C. Christie,Hardin County,REPUBLICAN,0.1%,7,texas,county
 C. Fiorina,Hardin County,REPUBLICAN,0.1%,7,texas,county
 E. Gray,Hardin County,REPUBLICAN,0.0%,4,texas,county
 R. Santorum,Hardin County,REPUBLICAN,0.0%,4,texas,county
 L. Graham,Hardin County,REPUBLICAN,0.0%,1,texas,county
 H. Clinton,Harris County,DEMOCRAT,70.5%,"156,729",texas,county
 B. Sanders,Harris County,DEMOCRAT,28.5%,"63,246",texas,county
 R. De La Fuente,Harris County,DEMOCRAT,0.3%,593,texas,county
 M. O'Malley,Harris County,DEMOCRAT,0.2%,461,texas,county
 C. Hawes,Harris County,DEMOCRAT,0.2%,454,texas,county
 W. Wilson,Harris County,DEMOCRAT,0.2%,368,texas,county
 S. Locke,Harris County,DEMOCRAT,0.1%,199,texas,county
 K. Judd,Harris County,DEMOCRAT,0.1%,190,texas,county
 T. Cruz,Harris County,REPUBLICAN,45.3%,"147,721",texas,county
 D. Trump,Harris County,REPUBLICAN,24.5%,"79,793",texas,county
 M. Rubio,Harris County,REPUBLICAN,19.4%,"63,199",texas,county
 J. Kasich,Harris County,REPUBLICAN,5.4%,"17,504",texas,county
 B. Carson,Harris County,REPUBLICAN,2.8%,"9,111",texas,county
 J. Bush,Harris County,REPUBLICAN,1.2%,"4,019",texas,county
 Uncommitted,Harris County,REPUBLICAN,0.9%,"2,861",texas,county
 R. Paul,Harris County,REPUBLICAN,0.2%,762,texas,county
 C. Fiorina,Harris County,REPUBLICAN,0.1%,359,texas,county
 M. Huckabee,Harris County,REPUBLICAN,0.1%,339,texas,county
 C. Christie,Harris County,REPUBLICAN,0.1%,290,texas,county
 L. Graham,Harris County,REPUBLICAN,0.0%,128,texas,county
 R. Santorum,Harris County,REPUBLICAN,0.0%,128,texas,county
 E. Gray,Harris County,REPUBLICAN,0.0%,87,texas,county
 H. Clinton,Harrison County,DEMOCRAT,78.8%,"2,043",texas,county
 B. Sanders,Harrison County,DEMOCRAT,20.4%,528,texas,county
 K. Judd,Harrison County,DEMOCRAT,0.3%,7,texas,county
 M. O'Malley,Harrison County,DEMOCRAT,0.2%,6,texas,county
